Date, Open, High, Low, Close
08/02/11, 1.6297, 1.6300, 1.6297, 1.6300
08/01/11, 1.6428, 1.6428, 1.6297, 1.6297
07/29/11, 1.6374, 1.6428, 1.6374, 1.6428
07/28/11, 1.6330, 1.6374, 1.6330, 1.6374
07/27/11, 1.6403, 1.6403, 1.6330, 1.6330
07/26/11, 1.6276, 1.6403, 1.6276, 1.6403
07/25/11, 1.6300, 1.6300, 1.6276, 1.6276
07/22/11, 1.6330, 1.6330, 1.6300, 1.6300
07/21/11, 1.6154, 1.6330, 1.6154, 1.6330
07/20/11, 1.6123, 1.6154, 1.6123, 1.6154
07/19/11, 1.6058, 1.6123, 1.6058, 1.6123
07/18/11, 1.6137, 1.6137, 1.6058, 1.6058
07/15/11, 1.6142, 1.6142, 1.6137, 1.6137
07/14/11, 1.6104, 1.6142, 1.6104, 1.6142
07/13/11, 1.5913, 1.6104, 1.5913, 1.6104
07/12/11, 1.5906, 1.5913, 1.5906, 1.5913
07/11/11, 1.6052, 1.6052, 1.5906, 1.5906
07/08/11, 1.5974, 1.6052, 1.5974, 1.6052
07/07/11, 1.6005, 1.6005, 1.5974, 1.5974
07/06/11, 1.6060, 1.6060, 1.6005, 1.6005
07/05/11, 1.6083, 1.6083, 1.6060, 1.6060
07/04/11, 1.6075, 1.6083, 1.6075, 1.6083
07/01/11, 1.6054, 1.6075, 1.6054, 1.6075
06/30/11, 1.6063, 1.6063, 1.6054, 1.6054
06/29/11, 1.6000, 1.6063, 1.6000, 1.6063
06/28/11, 1.5991, 1.6000, 1.5991, 1.6000
06/27/11, 1.5958, 1.5991, 1.5958, 1.5991
06/24/11, 1.6006, 1.6006, 1.5958, 1.5958
06/23/11, 1.6072, 1.6072, 1.6006, 1.6006
06/22/11, 1.6246, 1.6246, 1.6072, 1.6072
06/21/11, 1.6202, 1.6246, 1.6202, 1.6246
06/20/11, 1.6194, 1.6202, 1.6194, 1.6202
06/17/11, 1.6159, 1.6194, 1.6159, 1.6194
06/16/11, 1.6363, 1.6363, 1.6159, 1.6159
06/15/11, 1.6372, 1.6372, 1.6363, 1.6363
06/14/11, 1.6376, 1.6376, 1.6372, 1.6372
06/13/11, 1.6227, 1.6376, 1.6227, 1.6376
06/10/11, 1.6366, 1.6366, 1.6227, 1.6227
06/09/11, 1.6405, 1.6405, 1.6366, 1.6366
06/08/11, 1.6447, 1.6447, 1.6405, 1.6405
06/07/11, 1.6358, 1.6447, 1.6358, 1.6447
06/06/11, 1.6426, 1.6426, 1.6358, 1.6358
06/03/11, 1.6373, 1.6426, 1.6373, 1.6426
06/02/11, 1.6335, 1.6373, 1.6335, 1.6373
06/01/11, 1.6448, 1.6448, 1.6335, 1.6335
05/31/11, 1.6476, 1.6476, 1.6448, 1.6448
05/30/11, 1.6509, 1.6509, 1.6476, 1.6476
05/27/11, 1.6402, 1.6509, 1.6402, 1.6509
05/26/11, 1.6275, 1.6402, 1.6275, 1.6402
05/25/11, 1.6181, 1.6275, 1.6181, 1.6275
05/24/11, 1.6122, 1.6181, 1.6122, 1.6181
05/23/11, 1.6232, 1.6232, 1.6122, 1.6122
05/20/11, 1.6238, 1.6238, 1.6232, 1.6232
05/19/11, 1.6168, 1.6238, 1.6168, 1.6238
05/18/11, 1.6254, 1.6254, 1.6168, 1.6168
05/17/11, 1.6192, 1.6254, 1.6192, 1.6254
05/16/11, 1.6198, 1.6198, 1.6192, 1.6192
05/13/11, 1.6293, 1.6293, 1.6198, 1.6198
05/12/11, 1.6345, 1.6345, 1.6293, 1.6293
05/11/11, 1.6366, 1.6366, 1.6345, 1.6345
05/10/11, 1.6406, 1.6406, 1.6366, 1.6366
05/09/11, 1.6366, 1.6406, 1.6366, 1.6406
05/06/11, 1.6394, 1.6394, 1.6366, 1.6366
05/05/11, 1.6489, 1.6489, 1.6394, 1.6394
05/04/11, 1.6487, 1.6489, 1.6487, 1.6489
05/03/11, 1.6655, 1.6655, 1.6487, 1.6487
05/02/11, 1.6708, 1.6708, 1.6655, 1.6655
04/29/11, 1.6632, 1.6708, 1.6632, 1.6708
04/28/11, 1.6627, 1.6632, 1.6627, 1.6632
04/27/11, 1.6482, 1.6627, 1.6482, 1.6627
04/26/11, 1.6499, 1.6499, 1.6482, 1.6482
04/25/11, 1.6509, 1.6509, 1.6499, 1.6499
04/22/11, 1.6522, 1.6522, 1.6509, 1.6509
04/21/11, 1.6409, 1.6522, 1.6409, 1.6522
04/20/11, 1.6316, 1.6409, 1.6316, 1.6409
04/19/11, 1.6266, 1.6316, 1.6266, 1.6316
04/18/11, 1.6327, 1.6327, 1.6266, 1.6266
04/15/11, 1.6350, 1.6350, 1.6327, 1.6327
04/14/11, 1.6271, 1.6350, 1.6271, 1.6350
04/13/11, 1.6258, 1.6271, 1.6258, 1.6271
04/12/11, 1.6345, 1.6345, 1.6258, 1.6258
04/11/11, 1.6383, 1.6383, 1.6345, 1.6345
04/08/11, 1.6323, 1.6383, 1.6323, 1.6383
