Date,Open,High,Low,Close,Adj Close,Volume
2021-10-05,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-06,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-07,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-08,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-11,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-12,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-13,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-14,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-18,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-19,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-20,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-21,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-22,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-25,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-26,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-27,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-28,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-10-29,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-01,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-02,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-03,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-04,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-08,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-09,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-10,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-11,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-12,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-15,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-17,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-18,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-22,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-23,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-24,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-25,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-26,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-29,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-11-30,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-01,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-02,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-03,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-06,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-07,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-08,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-09,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-10,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-13,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-14,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-15,102.185997,102.185997,102.185997,102.185997,102.185997,0
2021-12-16,102.185997,102.185997,102.185997,102.185997,102.185997,0
